Type,Domain,Name,Description,Category,Keywords,Rating,Comments,Uid,Update Frequency,Time Period,Agency,Sub-Agency,High Value Dataset,Suggested by Public,Data.gov Catalog Type,Identifier,SoQL,Key Identifier,State,Data.gov ID
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Consumer Price Index (Prices/Consumer-Price-Index/aqam-5uet),The Consumer Price Indexes (CPI) program produces monthly data on changes in the prices paid by urban consumers for a representative basket of goods and services.,Prices,"Consumer price indexes, Retail Inflation, Retail price index, community.health",0,0,aqam-5uet,Monthly,Entire month,Department of Labor,US Bureau of Labor Statistics,N,Y,Raw Data Catalog,aqam-5uet,,,,320
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,EPA Geospatial Data Download: Facility and Site Information (Geography-and-Environment/EPA-Geospatial-Data-Download-Facility-and-Site-Inf/afqt-q8t6),"Contains information about facilities or sites subject to environmental regulation, including key facility information along with associated environmental interests for use in mapping and reporting applications.",Geography and Environment,"public health, xml, brownfields, shapefile, TRI, RCRA, environment, federal data download, kmz, NEPT, regulated sites, national priorities list, federal datasets, NPL, RCRAInfo, CERCLIS, facilities, FRS, Superfund, EPA, sites, toxic release, NPDES, major discharges, PCS",0,0,afqt-q8t6,"Continuous, updated as facility information is updated, added and changed",Data describes facilities currently regulated under multiple EPA programs,Environmental Protection Agency,,N,N,Raw Data Catalog,afqt-q8t6,,,,6
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Active Duty Marital Status (Population/Active-Duty-Marital-Status/r84k-m39h),Marital Status of Active Duty Forces,Population,"Male, Military, Demographic, Marriage, Personnel, Female, Reserve, Army, DoD, Warrant, Single, Children, Enlisted, Navy, Air Force, Officer, Guard, Marine Corp, Services, Active",0,0,r84k-m39h,Nightly,Quarterly,Department of Defense,,Y,N,Raw Data Catalog,r84k-m39h,,,,1612
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from data.medicare.gov"" src=""/api/domains/data.medicare.gov/icons/smallIcon"">",Helpful Contacts - Agency List By Topic (http://data.medicare.gov/dataset/Helpful-Contacts-Agency-List-By-Topic/tinc-envn),A database of agencies listed by state and topic to provide you with contact information for specific organizations or help you get answers to your Medicare related questions.,,"helpful contacts, organizations, agencies",0,0,tinc-envn,,,,,,,,tinc-envn,,,,
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from data.medicare.gov"" src=""/api/domains/data.medicare.gov/icons/smallIcon"">",Hospital Acquired Condition Measures (http://data.medicare.gov/dataset/Hospital-Acquired-Condition-Measures/qd2y-qcgs),,,hospital compare,0,1,qd2y-qcgs,,,,,,,,qd2y-qcgs,,,,
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from data.medicare.gov"" src=""/api/domains/data.medicare.gov/icons/smallIcon"">",Hospital Process Of Care Measures - Heart Attack (http://data.medicare.gov/dataset/Hospital-Process-Of-Care-Measures-Heart-Attack/nymf-dpgw),"A list of hospitals and their quality measure ratings related to the care of a patient having a heart attack. These measures show some of the standards of care provided, if appropriate for most adults who have had a heart attack.",,"hospital compare, process of care, poc, quality, ratings, heart attack",0,0,nymf-dpgw,,,,,,,,nymf-dpgw,,,,
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,AVAILABLE TECHNOLOGIES (Agriculture/AVAILABLE-TECHNOLOGIES/g99s-xgrw),"This feed provides readers with information about ARS technologies relating to biobased products, biotechnology, crop production, food safety & nutrition, natural resources, and animal production.",Agriculture,"ARS, TECHNOLOGIES, PATENT APPLICATIONS, PATENTS, USDA, INVENTIONS, SUMMARY",0,0,g99s-xgrw,Continuous,May 2001 - August 2009,Department of Agriculture,,N,N,Tool Catalog,g99s-xgrw,,,,1197
"<div class='typeChart'><div class=""viewTypeCell"">Chart</div></div>",,California DRG Payments by Condition (dataset/California-DRG-Payments-by-Condition/7vsj-mxdb),"A breakdown of California DRG Payments, graphed against their respective condition.",,"california, drg, condition",27,0,7vsj-mxdb,,,,,,,,7vsj-mxdb,,,,
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Farmers Markets Geographic Data (Agriculture/Farmers-Markets-Geographic-Data/wfna-38ey),"longitude and latitude, state, address, name, and zip code of Farmers Markets in the United States",Agriculture,"Organic, Plants, Prepared Food, Nuts, Processed Food, Preserves, Vegetables, Herbs, Baked Goods, Dairy, Flowers, Direct to Consumer, Yogurt, Seafood, Meat, Butter, Farmers Markets, Local Food, Cheese, Maple, Fresh Fruit, Honey, Crafts",0,0,wfna-38ey,Annual,2010,Department of Agriculture,Agricultural Marketing Service,N,N,Raw Data Catalog,wfna-38ey,,,,4383
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from data.medicare.gov"" src=""/api/domains/data.medicare.gov/icons/smallIcon"">",Hospital Process Of Care Measures - Heart Failure (http://data.medicare.gov/dataset/Hospital-Process-Of-Care-Measures-Heart-Failure/hcmr-nx8t),A list of hospitals and their quality measure ratings related to the care of a patient with heart failure. These measures show some of the standards of care provided for most adults with heart failure.,,"hospital compare, process of care, poc, quality, ratings, heart failure",0,0,hcmr-nx8t,,,,,,,,hcmr-nx8t,,,,
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from data.medicare.gov"" src=""/api/domains/data.medicare.gov/icons/smallIcon"">",Hospital Medicare Payment And Volume Measures - State Average (http://data.medicare.gov/dataset/Hospital-Medicare-Payment-And-Volume-Measures-Stat/etdv-qsyk),A list displaying the state average of payments made by Medicare for each medical condition and surgical procedure.,,"hospital compare, mpv, quality, ratings, state average, payment",0,0,etdv-qsyk,,,,,,,,etdv-qsyk,,,,
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,"CMS Medicare and Medicaid EHR Incentive Program, electronic health record products used for attestation (Science-and-Technology/CMS-Medicare-and-Medicaid-EHR-Incentive-Program-el/eybk-7w2b)","Data set merges information about the Centers for Medicare and Medicaid Services, Medicare and Medicaid EHR Incentive Programs attestations with the Office of the National Coordinator for Health IT, Certified Health IT Products List. This new dataset enables systematic analysis of the distribution of certified EHR vendors and products among those providers that have attested to meaningful use within the CMS EHR Incentive Programs. The data set can be analyzed by state, provider type, provider specialty, and practice setting.",Science and Technology,"electronic health record, health information technology, CHPL, certified health IT product list, meaningful use, MU",0,0,eybk-7w2b,monthly,April 2011 to present,Department of Health and Human Services,,Y,N,Raw Data Catalog,eybk-7w2b,,,,5592
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from info.samhsa.gov"" src=""/api/domains/info.samhsa.gov/icons/smallIcon"">",Mental Health Facilities (http://info.samhsa.gov/Services/Mental-Health-Facilities/z8sj-w7z2),"Provides listings and contact information for mental health facilities across the United States. Information contained in the Mental Health Services Locator is based on information collected in 2010. As new information becomes available SAMHSA will update the locator. If you, or someone you know, is in suicidal crisis or emotional distress please call 1-800-273-TALK (8255) or if medical help is immediately needed please call 911.",Services,"mental health, facilities, treatment",0,0,z8sj-w7z2,,,,,,,,z8sj-w7z2,,,,
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from data.medicare.gov"" src=""/api/domains/data.medicare.gov/icons/smallIcon"">",Hospital Process Of Care Measures - Pneumonia (http://data.medicare.gov/dataset/Hospital-Process-Of-Care-Measures-Pneumonia/rnb4-peed),A list of hospital and their quality measure ratings of recommended treatments for patients with pneumonia.,,"hospital compare, process of care, poc, quality, ratings, pneumonia",0,0,rnb4-peed,,,,,,,,rnb4-peed,,,,
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Child-Related Product Recalls (Wholesale-and-Retail-Trade/Child-Related-Product-Recalls/ne3q-zie5),Child-Related Product Recalls.  CPSC is charged with protecting the public from unreasonable risks of serious injury or death from thousands of types of consumer products.,Wholesale and Retail Trade,child product recalls,0,0,ne3q-zie5,daily,ongoing,US Consumer Product Safety Commission,,N,N,Tool Catalog,ne3q-zie5,,,,603
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Travel Warnings (National-Security-and-Veterans-Affairs/Travel-Warnings/hkvp-3krc),"Travel Warnings are issued to describe long-term, protracted conditions that make a country dangerous or unstable. A Travel Warning is also issued when the U.S. Government's ability to assist American citizens is constrained due to the closure of an embassy or consulate or because of a drawdown of its staff.",National Security and Veterans Affairs,"warnings, instability, security, crime, travel, alerts, health, notifications, currency, country, abroad, terrorism",0,0,hkvp-3krc,daily,months,Department of State,,N,Y,Tool Catalog,hkvp-3krc,,,,610
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Global Trade - World Copper Smelters (Geography-and-Environment/Global-Trade-World-Copper-Smelters/db3a-9tgn),Locations and characteristics of world copper smelters,Geography and Environment,"environment, federal data download, Blast Furnace, federal datasets, smelters, characteristics, refine, industrial sites, copper, facility, processing, Commodities, international, smelter inventory, world, Locations, mineral resources",0,0,db3a-9tgn,as needed,current as of 2003,Department of the Interior,US Geological Survey,N,N,Raw Data Catalog,db3a-9tgn,,,,16
"<div class='typeHref'><div class=""viewTypeCell"">External</div></div>",,Travel Alerts (National-Security-and-Veterans-Affairs/Travel-Alerts/cbg9-y9ea),"Travel Alerts are issued to disseminate information about short-term conditions, generally within a particular country, that pose imminent risks to the security of U.S. citizens. Natural disasters, terrorist attacks, coups, anniversaries of terrorist events, election-related demonstrations or violence, and high-profile events such as international conferences or regional sports events are examples of conditions that might generate a Travel Alert.",National Security and Veterans Affairs,"warnings, instability, security, crime, travel, alerts, health, notifications, currency, country, abroad, terrorism",0,1,cbg9-y9ea,daily,months,Department of State,,N,Y,Tool Catalog,cbg9-y9ea,,,,611
"<div class='typeBlist'><div class=""viewTypeCell"">Tabular</div></div>","<img alt=""Federated from data.medicare.gov"" src=""/api/domains/data.medicare.gov/icons/smallIcon"">",Survey of Patients’ Hospital Experiences (HCAHPS) – State Average (http://data.medicare.gov/dataset/Survey-of-Patients-Hospital-Experiences-HCAHPS-Sta/fhk8-g4vc),"A list of the state averages for the HCAHPS survey responses. HCAHPS is a national, standardized survey of hospital patients about their experiences during a recent inpatient hospital stay.",,"hospital compare, hcahps, quality, ratings, state list, patient survey",0,0,fhk8-g4vc,,,,,,,,fhk8-g4vc,,,,
